"t","icu","deaths","cases_imported","cases_community","cases_dorms","logcases_imported","logcases_community","logcases_dorms","infns_dorms","cumcases_imported","cumcases_community","cumcases_dorms","logcumcases_imported","logcumcases_community","logcumcases_dorms","cuminfns_dorms","logcuminfns_dorms"
29,2.43379301186681,0.0100562248853165,2.20711341130424,6.55246672681891,2.77753110708684,2.87851154964387e-05,10.525,34,0,1.02173115970807,1.53147891704226,-0.301029995663981,0.000118410397983369,-0.301029995663981,0.301029995663981,0.698970004336019,0.301029995663981
30,2.6675739513773,0.00871436620880373,2.13649368961654,6.91337542205975,2.27605446679551,3.64400441201652e-05,12.525,37.525,0,1.09743135183371,1.57428220715565,-0.301029995663981,0.000154850442103534,-0.301029995663981,0.301029995663981,0.875543812177542,0.301029995663981
31,2.91589514548117,0.00534309152189805,2.03900896408044,7.2999592208068,1.14008000674545,4.61301292067871e-05,13,41,0,1.11394335230684,1.61278385671974,-0.301029995663981,0.000200980571310321,-0.301029995663981,0.301029995663981,0.698970004336019,0.301029995663981
32,3.1791741972064,0.00122343632911931,1.93189916871384,7.68017406409558,0,5.83967923646101e-05,13,49.525,0,1.11394335230684,1.69480239028995,-0.301029995663981,0.000259377363674931,-0.301029995663981,0.301029995663981,1.06123167962516,0.301029995663981
33,3.45484504621035,0,1.83587186695076,8.01991108488067,0,7.39252834284005e-05,13.525,55,0,1.13084031107682,1.74036268949424,-0.301029995663981,0.000333302647103331,-0.301029995663981,0.301029995663981,0.929945061276818,0.301029995663981
34,3.73720711773696,0,1.77009886111783,8.29049813965815,0,9.35830164796156e-05,14.05,59,0,1.14657100334998,1.77085201164214,-0.301029995663981,0.000426885663582947,-0.301029995663981,0.301029995663981,0.903089986991944,0.301029995663981
35,4.01794024192289,0.00179019574894518,1.74742953714005,8.47476060830816,0,0.000118468046199378,15.05,63.1,0,1.17657380784152,1.79981118386761,-0.301029995663981,0.000545353709782325,-0.301029995663981,0.301029995663981,0.845098040014257,0.301029995663981
36,4.28727195050902,0.0107432985115262,1.77108375278378,8.56997642320468,0,0.000149970414110545,16.575,67.525,0,1.21766141323068,1.82945271045367,-0.301029995663981,0.000695324123892869,-0.301029995663981,0.301029995663981,1.041570154175,0.301029995663981
37,4.53561719557886,0.0244117101366241,1.83372713565385,8.58694366839478,0,0.00018984980006716,17.575,72.525,0,1.2433026322618,1.86047743736809,-0.301029995663981,0.000885173923960029,-0.301029995663981,0,1,0
38,4.75536773141656,0.0415659515135618,1.91922433982371,8.54550079770295,0.491289728789468,0.000240333820063969,18.1,76,0,1.25499773948515,1.88081359228079,-0.301029995663981,0.001125507744024,-0.301029995663981,0.301029995663981,0.813298314939715,0.301029995663981
39,4.94243099133725,0.0602183662222135,2.00666756508241,8.46787363726644,1.88462473937554,0.000304242462792238,18.575,80.525,0,1.26750398537827,1.90592237873246,-0.301029995663981,0.00142975020681624,-0.301029995663981,0.301029995663981,0.954242509439325,0.301029995663981
40,5.09713458844014,0.078006903691311,2.07567160722399,8.37186448552811,2.7702083161745,0.000385145616775166,18.575,86.525,0,1.26750398537827,1.93713437196547,-0.301029995663981,0.0018148958235914,-0.301029995663981,0.301029995663981,0.845098040014257,0.301029995663981
41,5.22422834340295,0.0926665614393151,2.11157467515105,8.26595152257623,2.89514406497166,0.000487562488160926,19.05,88,0,1.27929518764766,1.94448267215017,-0.301029995663981,0.00230245831175233,-0.301029995663981,0.301029995663981,0.778151250383644,0.301029995663981
42,5.3319105169009,0.102483910609345,2.10918366166265,8.14780569731123,2.2142916150602,0.000617214049294447,19.525,95,0,1.29044870817618,1.97772360528885,-0.301029995663981,0.00291967236104678,-0.301029995663981,0.393477906668212,1,0.393477906668212
43,5.43003532048559,0.106634890473372,2.07406005015592,8.00671166618427,0.905589468507955,0.000781342620643559,20.05,103.1,0,1.3015730901879,2.01317703455847,-0.301029995663981,0.00370101498169034,-0.301029995663981,0.301029995663981,1.04139268515823,0.301029995663981
44,5.52786843364437,0.105333792125972,2.02097074851324,7.82919225511176,0,0.000989116438975155,21.05,107,0,1.32276115537205,2.02938377768521,-0.301029995663981,0.00469013142066549,-0.301029995663981,0.301029995663981,0.875543812177542,0.301029995663981
45,5.6318910201935,0.0997650608454572,1.96986708447504,7.60613056398301,0,0.00125214181235912,21.05,111.525,0,1.32276115537205,2.04736787682551,-0.301029995663981,0.00594227323302461,-0.301029995663981,0.301029995663981,0.903089986991944,0.301029995663981
46,5.74417147603947,0.0918186056258568,1.94041366501829,7.33916308442055,0,0.00158511147284767,23.575,114,0,1.37156927794337,2.05690485133647,-0.301029995663981,0.00752738470587228,-0.301029995663981,0.301029995663981,0.698970004336019,0.301029995663981
47,5.86171609423344,0.0836921212776787,1.94649361772973,7.0442486377283,0,0.00200662534630144,24.625,117,0,1.38911674957402,2.06818586174616,-0.301029995663981,0.00953401005217373,-0.301029995663981,0.301029995663981,0.954242509439325,0.301029995663981
48,5.97699531189213,0.0774507651121308,1.99215835040343,6.75108136521066,0,0.00254022959087343,24.625,119.525,0,1.38911674957402,2.07745496083645,-0.301029995663981,0.0120742396430472,-0.301029995663981,0.301029995663981,0.698970004336019,0.301029995663981
49,6.07956992287481,0.0746397828182556,2.07015194450247,6.49820469612354,0,0.00321712634693672,25.625,124.575,0,1.40657868856302,2.09539946412043,-0.301029995663981,0.0152899715922665,-0.301029995663981,0.158040747723588,0.875543812177542,0.158040747723588
50,6.15847732225114,0.0760290716598773,2.16350476162591,6.32495965117402,0.887272715389074,0.00407549029457742,25.625,129.1,0,1.40657868856302,2.11087419767336,-0.301029995663981,0.0193608384880511,-0.301029995663981,0.477121254719662,0.845098040014257,0.477121254719662
51,6.20484782022936,0.0815351079663033,2.24991832229792,6.26239186384615,2.3436228190384,0.00516287496520207,26.575,130.05,0,1.42377947057388,2.11409754261142,-0.301029995663981,0.0245142420899352,-0.301029995663981,0.301029995663981,0.652937748157191,0.301029995663981
52,6.21415504442586,0.0903238262482176,2.30795203173952,6.32564648479571,3.17313719435597,0.00654038553600169,27.05,133.1,0,1.4318703067408,2.12412909389637,-0.301029995663981,0.0310380565693726,-0.301029995663981,0.301029995663981,0.698970004336019,0.301029995663981
53,6.18758211135181,0.101058096718236,2.32355623909991,6.51006008077794,3.12973531838115,0.00828543069131732,27.575,135.525,0,1.43987128918309,2.13201646692949,-0.301029995663981,0.0393208070684209,-0.301029995663981,0.301029995663981,0.778151250383644,0.301029995663981
54,6.1321902150046,0.112224551930185,2.29539782637016,6.79218267667989,2.20615724434722,0.0104960725662244,28.525,141.525,0,1.45515901378451,2.15083045931241,-0.301029995663981,0.0498168796346454,-0.301029995663981,0.301029995663981,0.903089986991944,0.301029995663981
55,6.05985947068398,0.122462618724063,2.23772180993111,7.13559389032068,0.642414336887825,0.013296537297166,28.525,145,0,1.45515901378451,2.16136800223497,-0.301029995663981,0.0631134169318114,-0.301029995663981,0.477121254719662,0.845098040014257,0.477121254719662
56,5.98526346657198,0.130825228741893,2.18010998758283,7.50000074537542,0,0.0168441958391997,30,147.525,0,1.47712125471966,2.16886313458774,-0.301029995663981,0.0799576127710111,-0.301029995663981,0.393477906668212,0.875543812177542,0.393477906668212
57,5.9233662197437,0.136922783750052,2.16427547389319,7.85112217359941,0,0.0213384073281751,31.525,151.05,0,1.49860054318923,2.17911123172245,-0.301029995663981,0.101296020099186,-0.301029995663981,0.393477906668212,0.778151250383644,0.393477906668212
