"t","icu","deaths","cases_imported","cases_community","cases_dorms","logcases_imported","logcases_community","logcases_dorms","infns_dorms","cumcases_imported","cumcases_community","cumcases_dorms","logcumcases_imported","logcumcases_community","logcumcases_dorms","cuminfns_dorms","logcuminfns_dorms"
30,0,0.00419126759095059,0.00917714021950089,0.389392572508855,2.02579841914722,1.40169873163334e-05,2,17.475,0,0.301029995663981,1.24224012364766,-0.301029995663981,5.77976509271079e-05,-0.301029995663981,-0.301029995663981,-0.301029995663981,-0.301029995663981
31,0,0.00256854372727724,0,0.471624941724628,1.09670128441494,1.79585089159696e-05,2,19.475,0,0.301029995663981,1.28933488844063,-0.301029995663981,7.57561598430774e-05,-0.301029995663981,-0.301029995663981,-0.301029995663981,-0.301029995663981
32,0.00131940807363157,0.000584924178734486,0,0.545589134879242,0,2.3008316487567e-05,2,25.475,0,0.301029995663981,1.40603084483896,-0.301029995663981,9.87644763306444e-05,-0.301029995663981,-0.301029995663981,0.301029995663981,-0.301029995663981
33,0.00260766153652692,0,0,0.608878281286272,0,2.94780743200074e-05,2,27,0,0.301029995663981,1.43136376415899,-0.301029995663981,0.000128242550650652,-0.301029995663981,-0.301029995663981,0,-0.301029995663981
34,0.00316290316195228,0,0,0.661358168699603,0,3.77670695398843e-05,2,29.95,0,0.301029995663981,1.47615575346823,-0.301029995663981,0.000166009620190536,-0.301029995663981,-0.301029995663981,0,-0.301029995663981
35,0.00279462210979486,0.000840328477491187,0,0.704972190688223,0,4.83868600414838e-05,2,34,0,0.301029995663981,1.53147891704226,-0.301029995663981,0.00021439648023202,-0.301029995663981,-0.301029995663981,-0.301029995663981,-0.301029995663981
36,0.00158368941450332,0.00513534465662255,0,0.742975553081105,0,6.19928475273989e-05,2.475,38,0,0.38467334371543,1.57978359661681,-0.301029995663981,0.000276389327759419,-0.301029995663981,-0.301029995663981,0,-0.301029995663981
37,0,0.0116949509024437,0.0161465384729444,0.778762249782613,0,7.94247264912053e-05,2.475,41.475,0,0.38467334371543,1.61775493771686,-0.301029995663981,0.000355814054250624,-0.301029995663981,-0.301029995663981,0,-0.301029995663981
38,0,0.0199279994393715,0.0297838799284016,0.814581033027324,0.221767095803258,0.000101758306317599,2.475,43.475,0,0.38467334371543,1.63821096051022,-0.301029995663981,0.000457572360568223,-0.301029995663981,-0.301029995663981,-0.301029995663981,-0.301029995663981
39,0,0.0288792675876572,0.0346662670467983,0.850499418139325,1.463326433644,0.000130371905028247,3,44.475,0,0.477121254719662,1.64808859919854,-0.301029995663981,0.00058794426559647,-0.301029995663981,-0.301029995663981,-0.15804074772359,-0.301029995663981
40,0,0.0374140699355188,0.0285726930178012,0.883941842186172,2.32123043635502,0.000167031412288427,3.475,48.475,0,0.536467154608605,1.68549478763573,-0.301029995663981,0.000754975677884897,-0.301029995663981,-0.301029995663981,0,-0.301029995663981
41,0,0.0444448829489799,0.0126603856955194,0.909999049359322,2.55458282318326,0.000213999271387301,3.475,52.475,0,0.536467154608605,1.71993279346864,-0.301029995663981,0.000968974949272198,-0.301029995663981,-0.301029995663981,-0.301029995663981,-0.301029995663981
42,0,0.0491496810231966,0,0.922508179603156,2.08942920535802,0.000274174106036203,4,57.475,0,0.602059991327962,1.75946259617045,-0.301029995663981,0.0012431490553084,-0.301029995663981,-0.301029995663981,0.301029995663981,-0.301029995663981
43,0.00154654412860272,0.0511340162567114,0,0.915686792428811,1.04158479323141,0.000351269609064157,4.475,63.475,0,0.648092247506789,1.80258927610548,-0.301029995663981,0.00159441866437256,-0.301029995663981,-0.301029995663981,0.301029995663981,-0.301029995663981
44,0.00354840939744461,0.0505022525386572,0,0.885928802114447,0,0.000450043733134454,5,66.475,0,0.698970004336019,1.82264609744237,-0.301029995663981,0.00204446239750701,-0.301029995663981,-0.301029995663981,0,-0.301029995663981
45,0.00471572410984827,0.0478244097578299,0,0.833288870407678,0,0.000576592327994102,5,70.475,0,0.698970004336019,1.84802418664905,-0.301029995663981,0.00262105472550111,-0.301029995663981,-0.301029995663981,0,-0.301029995663981
46,0.00458194023219932,0.0440086671340754,0,0.762224572710621,0,0.000738725346084876,5.475,71.475,0,0.736581096208641,1.85414356888237,-0.301029995663981,0.00335978007158599,-0.301029995663981,-0.301029995663981,-0.301029995663981,-0.301029995663981
47,0.0029948142356746,0.0401101382234463,0,0.681330168860829,0,0.000946448834049109,5.475,75.95,0,0.736581096208641,1.88049025773757,-0.301029995663981,0.0043062289056351,-0.301029995663981,-0.301029995663981,0,-0.301029995663981
48,0.000175177718786668,0.0371193856880355,0.02283245473424,0.602045134685422,0,0.00121258245623549,6,76.475,0,0.778151250383644,1.88351023040434,-0.301029995663981,0.00551881136187059,-0.301029995663981,-0.301029995663981,-0.301029995663981,-0.301029995663981
49,0,0.0357766083434504,0.0455613007189517,0.536591468915661,0,0.00155355066065841,6.475,80.475,0,0.809950975458185,1.90565262713813,-0.301029995663981,0.007072362022529,-0.301029995663981,-0.301029995663981,0,-0.301029995663981
50,0,0.0364493899320969,0.0558230324925313,0.495612755369054,0.419685114910273,0.00199039631419127,6.475,84,0,0.809950975458185,1.92427928606188,-0.301029995663981,0.00906275833672027,-0.301029995663981,-0.301029995663981,0,-0.301029995663981
51,0,0.0390957229212019,0.0491511222406982,0.486091525141672,1.7858815267855,0.00255007936343132,7,85.95,0,0.845098040014257,1.93421658099385,-0.301029995663981,0.0116128377001516,-0.301029995663981,-0.301029995663981,-0.301029995663981,-0.301029995663981
52,0,0.0433138951233928,0.026022577317343,0.510074486618106,2.6926972684832,0.00326714066797765,7,86.95,0,0.845098040014257,1.9392409561742,-0.301029995663981,0.0148799783681292,-0.301029995663981,-0.301029995663981,-0.301029995663981,-0.301029995663981
53,0,0.0484616499151422,0,0.56454242793729,2.87800569216927,0.00418583368938288,7.475,90.475,0,0.872644214828658,1.95652197880817,-0.301029995663981,0.0190658120575121,-0.301029995663981,-0.301029995663981,-0.301029995663981,-0.301029995663981
54,0,0.0538131943808219,0,0.642468651175864,2.2710423587256,0.00536285559258742,7.475,93.475,0,0.872644214828658,1.97068927845067,-0.301029995663981,0.0244286676500995,-0.301029995663981,-0.301029995663981,0,-0.301029995663981
55,0,0.0587169844590638,0,0.734792608029432,1.01706514521805,0.00687084630910818,8,95.475,0,0.903089986991944,1.97988372847044,-0.301029995663981,0.0312995139592077,-0.301029995663981,-0.301029995663981,-0.301029995663981,-0.301029995663981
56,0,0.0627204694479898,0,0.832780673710948,0,0.00880287150554467,8,99,0,0.903089986991944,1.99563519459755,-0.301029995663981,0.0401023854647524,-0.301029995663981,-0.301029995663981,0,-0.301029995663981
57,0,0.0656386562907753,0,0.930127481829822,0,0.0112781661219007,9,100.425,0,0.954242509439325,2.00179355875062,-0.301029995663981,0.051380551586653,-0.301029995663981,-0.301029995663981,0,-0.301029995663981
58,0,0.0675583075296888,0,1.02420860054268,0,0.0144494929389837,10,103,0,1,2.01283722470517,-0.301029995663981,0.0658300445256367,-0.301029995663981,-0.301029995663981,0,-0.301029995663981
59,0,0.0687848847738875,0.0163676925295031,1.11612118238503,0,0.0185125703035058,10,110.95,0,1,2.0451097204764,-0.301029995663981,0.0843426148291425,-0.301029995663981,-0.301029995663981,0.301029995663981,-0.301029995663981
60,0,0.0697513117044001,0.0663028746643723,1.2094888941545,0,0.0237181508340031,10.475,112.95,0,1.01966152545016,2.05286926628667,-0.301029995663981,0.108060765663146,-0.301029995663981,-0.301029995663981,0.301029995663981,-0.301029995663981
61,0,0.0709137273487128,0.118041914953409,1.30837166965805,0,0.0303874965300736,12,117.475,0,1.07918124604762,2.06994153088714,-0.301029995663981,0.138448262193219,-0.301029995663981,-0.301029995663981,0,-0.301029995663981
62,0.00140249637298384,0.072658796286806,0.181019921038188,1.41490885119776,0.738264323568401,0.0389322053067246,13,122.475,0,1.11394335230684,2.08804383903796,-0.301029995663981,0.177380467499944,-0.301029995663981,-0.301029995663981,0.142989247940391,-0.301029995663981
63,0.0186564743078936,0.0752407653508464,0.282550406213447,1.5274510913686,2.34409818111521,0.0498796125077882,14,124.475,0,1.14612803567824,2.095078640889,-0.301029995663981,0.227260080007732,-0.301029995663981,-0.301029995663981,-0.301029995663981,-0.301029995663981
64,0.0502874061253507,0.078756602625826,0.470769796633176,1.63985706997464,3.35796784475068,0.0639053349857845,17,130.9,0,1.23044892137827,2.11688912736647,-0.301029995663981,0.291165414993517,-0.301029995663981,0,0.301029995663981,0
65,0.101276168314812,0.0831571663574912,0.813134049177105,1.74235512995117,3.47274359814486,0.0818749660956595,20.475,141,0,1.3110949127222,2.14921911265538,-0.301029995663981,0.373040381089176,-0.301029995663981,0,0.301029995663981,0
66,0.176869615940781,0.0882841777881723,1.38969739518723,1.82396135346092,2.61781112278258,0.104897494627034,25,142.475,0,1.39794000867204,2.15373599859701,-0.301029995663981,0.47793787571621,-0.301029995663981,0.142989247940391,-0.301029995663981,0.142989247940391
67,0.282515318912459,0.0939186489478205,2.28149420673096,1.87600796908519,0.988895440793712,0.134393744125031,29.475,150.475,0,1.46939154488879,2.17746196096849,-0.301029995663981,0.61233161984124,-0.301029995663981,0.301029995663981,0.778151250383644,0.301029995663981
68,0.423868816575292,0.0998268532897535,3.55551251448246,1.89598610205574,0,0.172184055840079,38.95,152,0,1.59036488410461,2.18184358794477,-0.301029995663981,0.784515675681319,-0.301029995663981,0.536467154608605,-0.301029995663981,0.536467154608605
69,0.606840695572947,0.105794093763711,5.24872801475383,1.89074360059934,0,0.220600625850621,50.475,159.95,0,1.70305508592293,2.20397578138337,-0.301029995663981,1.00511630153194,0.00221631667317741,0.736581096208641,0.536467154608605,0.736581096208641
