"t","icu","deaths","cases_imported","cases_community","cases_dorms","logcases_imported","logcases_community","logcases_dorms","infns_dorms","cumcases_imported","cumcases_community","cumcases_dorms","logcumcases_imported","logcumcases_community","logcumcases_dorms","cuminfns_dorms","logcuminfns_dorms"
19,0.0677299025361475,0.00698727011161299,0,1.47834222446887,2.94185431562823,0,0,1.5,0,-0.301029995663981,0.150514997831991,-0.301029995663981,0,-0.301029995663981,-0.301029995663981,0.150514997831991,-0.301029995663981
20,0.020084574424561,0.00215531322834223,0,1.62171249342301,0.919439316669823,0,0,3,0,-0.301029995663981,0.477121254719662,-0.301029995663981,0,-0.301029995663981,-0.301029995663981,0,-0.301029995663981
21,0,0,0.00755837954591687,1.75611378099632,0,1.91032066325923e-06,1,5,0,0,0.698970004336019,-0.301029995663981,1.91032066325923e-06,-0.301029995663981,-0.301029995663981,0.301029995663981,-0.301029995663981
22,0,0,0.0204813313499828,1.87232558856786,0,3.16567424195358e-06,1,8,0,0,0.903089986991944,-0.301029995663981,5.07599490521281e-06,-0.301029995663981,-0.301029995663981,0.389075625191822,-0.301029995663981
23,0,0,0.0264975735847417,1.96529360212492,0,4.31094710409922e-06,2,10,0,0.301029995663981,1,-0.301029995663981,9.38694200931203e-06,-0.301029995663981,-0.301029995663981,0.301029995663981,-0.301029995663981
24,0,0,0.0246686997370871,2.03775356954536,0,5.59438130017914e-06,2,12,0,0.301029995663981,1.07918124604762,-0.301029995663981,1.49813233094912e-05,-0.301029995663981,-0.301029995663981,0.301029995663981,-0.301029995663981
25,0,0,0.0157384889671401,2.10085607251636,0,7.16065093052058e-06,2.5,15,0,0.389075625191822,1.17609125905568,-0.301029995663981,2.21419742400117e-05,-0.301029995663981,-0.301029995663981,0.477121254719662,-0.301029995663981
26,0,0.00029239615536214,0.0020969932627557,2.17174737897321,0.115805759989769,9.12799753623579e-06,3,17,0,0.477121254719662,1.23044892137827,-0.301029995663981,3.12699717762475e-05,-0.301029995663981,-0.301029995663981,0.301029995663981,-0.301029995663981
27,0.0599631708113519,0.00368119361395408,0,2.26888532113433,1.50866054162867,1.16215526036659e-05,3,18,0,0.477121254719662,1.25527250510331,-0.301029995663981,4.28915243799135e-05,-0.301029995663981,-0.301029995663981,0.301029995663981,-0.301029995663981
28,0.155334351265531,0.0061358566212073,0,2.40652090375726,2.50699849240121,1.47908033453201e-05,4,20,0,0.602059991327962,1.30102999566398,-0.301029995663981,5.76823277252336e-05,-0.301029995663981,-0.301029995663981,0,-0.301029995663981
29,0.270536272196275,0.00699076396422971,0,2.5900339217902,2.83043740289723,1.88222260711469e-05,4,22,0,0.602059991327962,1.34242268082221,-0.301029995663981,7.65045537963805e-05,-0.301029995663981,-0.301029995663981,0.301029995663981,-0.301029995663981
30,0.401364705816571,0.00605715891084618,0,2.8135777573247,2.38333223904544,2.39516728017974e-05,5,26,0,0.698970004336019,1.41497334797082,-0.301029995663981,0.000100456226598178,-0.301029995663981,-0.301029995663981,0.477121254719662,-0.301029995663981
31,0.543327530506404,0.00371202200479087,0,3.06081973909262,1.28095312062659,3.04787142980933e-05,5,28.5,0,0.698970004336019,1.45477801462059,-0.301029995663981,0.000130934940896271,-0.301029995663981,-0.301029995663981,0.301029995663981,-0.301029995663981
32,0.69216883770707,0.00084532390846126,0,3.3086487858495,0,3.87843460068236e-05,6,35,0,0.778151250383644,1.54406804435028,-0.301029995663981,0.000169719286903095,-0.301029995663981,-0.301029995663981,0.778151250383644,-0.301029995663981
33,0.84427031421031,0,0.0131240601609022,3.53282989778651,0,4.93533093455136e-05,6,39,0,0.778151250383644,1.5910646070265,-0.301029995663981,0.000219072596248608,-0.301029995663981,-0.301029995663981,0.477121254719662,-0.301029995663981
34,0.996891701741412,0,0.0276507913924851,3.71398279439989,0,6.28024153674454e-05,7,43,0,0.845098040014257,1.63346845557959,-0.301029995663981,0.000281875011616054,-0.301029995663981,-0.301029995663981,0.602059991327962,-0.301029995663981
35,1.14823839363827,0.00121443048314529,0.0355086464944656,3.84213579442517,0,7.9916556355115e-05,7,46,0,0.845098040014257,1.66275783168157,-0.301029995663981,0.000361791567971169,-0.301029995663981,-0.301029995663981,0.477121254719662,-0.301029995663981
