"duration","const","risk11","risk12","risk13","risk21","risk22","risk23","LL"
19,0.401782295779144,0.64017521392002,0.716087528642526,0.0151833940491359,0.232375204107504,0.112124682307975,0,-999.758576524363
22,1.14589049558692,0.730231387995977,0.602088131695683,0.014728787527402,0.0335529027187282,0.0143487119305864,0,-542.053840792434
24,1.09684727859179,0.866042482311854,0.498108468593942,0.00778674665247798,0.0116937832992856,0.0143487119305864,0,-520.627355520838
27,1.25066378606449,0.941454476555507,0.44527498562309,0.00464538609030697,0.0116937832992856,0.0143487119305864,0,-521.92025782391
24,1.30186592513683,1.00237661638991,0.325921640947217,0.00242547899285062,0.00813347704916973,0.00584804012073287,0,-520.565802541333
25,1.09100813911408,0.893570828508679,0.520467115219437,0.00426293263356351,0.00813347704916973,0.00584804012073287,0,-515.194478341219
26,1.05629497134578,0.87196499215206,0.629390594879207,0.00314683012633791,0.0171044329311782,0.00584804012073287,0,-518.650931792685
29,0.754060279877783,0.773827880658366,0.746538784239986,0.00693424356687104,0.0171044329311782,0.00584804012073287,0,-520.831386066989
26,0.987615483444575,0.848147644751945,0.684640613254784,0.00553839200386198,0.00648758510880124,0.0102502215580107,0,-516.787200134612
25,0.827494032327351,0.836874714267686,0.570962103786209,0.00790177665487679,0.00235311834460941,0.0102502215580107,0,-515.493634219271
25,0.495709673834294,0.832120271981739,0.520829985572457,0.0071106174992535,0.00120930165806318,0.0102502215580107,0,-515.391299278877
24,0.381865254306606,0.870902881578001,0.468558770632743,0.0071106174992535,0.00556029688974459,0.00862701427426506,0,-515.741942556498
22,0.139335268584536,0.80531019906018,0.567030523468596,0.00868688239298894,0.00556029688974459,0.00862701427426506,0,-517.626543679757
25,0.541271368037917,0.806468223610161,0.529035720064935,0.00655550332825579,0.00556029688974459,0.00862701427426506,0,-517.325754136714
24,-0.112487925569536,0.821442626703015,0.599156974857168,0.00655550332825579,0.00556029688974459,0.00862701427426506,0,-516.096290161178
26,-0.065554836124688,0.914266944178029,0.61553920088303,0.00351626538789501,0.00556029688974459,0.00862701427426506,0,-517.024258811691
26,-0.327674436911635,0.867940087479562,0.563601440224994,0.0065638867959082,0.00556029688974459,0.014929229609752,0,-517.269103571657
26,-0.317079666637909,0.842327766854808,0.630527264917216,0.00530790924985248,0.00556029688974459,0.014929229609752,0,-518.167454124493
27,-0.799272619078288,0.878147765397246,0.597210006070265,0.00510302097720686,0.000810694723866943,0.0123101136433029,0,-517.276901072857
29,-1.05590593076802,0.834125863526551,0.70759068017978,0.00510302097720686,0.000810694723866943,0.00264783799889183,0,-514.925491170722
24,-1.66615844644947,0.895029601438692,0.563141291022627,0.006068837457526,0.000810694723866943,0.00264783799889183,0,-514.034611456434
26,-1.5572183373773,0.90874295417551,0.479874256546642,0.00517206632349287,0.000810694723866943,0.00264783799889183,0,-513.840930842145
31,-0.78837630647736,0.90874295417551,0.649380381585384,0.00250992082122928,0.000810694723866943,0.00451146926870994,0,-516.713682793866
29,-0.470263021434605,0.891781842219746,0.73698455009854,0.000960443361938637,0.00363728539593251,0.00451146926870994,0,-519.898122245521
27,-0.817027553566555,0.903039941705677,0.594088441605034,0.0036974362345069,0.00363728539593251,0.00451146926870994,0,-514.39521352164
28,-1.63017059384796,0.827323247030322,0.699392574987196,0.0036974362345069,0.00363728539593251,0.00691096059686286,0,-516.246782896513
28,-1.50086007212841,0.855810658104423,0.600104552588224,0.00536212179259654,0.00363728539593251,0.00691096059686286,0,-516.054761164728
27,-1.03105938959969,0.857163590951849,0.630176735677789,0.00536212179259654,0.00317327037566449,0.00691096059686286,0,-515.679113476065
24,-0.677063259212279,0.857163590951849,0.514461961082795,0.00562961244227986,0.0233717187112107,0.00691096059686286,0,-520.575439562306
23,-1.01659001868457,0.883972029304257,0.500063276572802,0.00430043921924997,0.0123582521290368,0.00691096059686286,0,-520.210637023753
24,-0.871638579136493,0.890943506690448,0.517723309966245,0.00623620032162648,0.00758979082531706,0.00691096059686286,0,-515.226117516752
25,-0.932832360454099,0.892848341566981,0.493619820161317,0.00623620032162648,0.00182132146212283,0.00691096059686286,0,-514.979705793033
25,-0.993774463499982,0.877649049689539,0.415777307052373,0.00466066026790788,0.00182132146212283,0.023241243638721,0,-522.222052844982
25,-0.518278896538909,0.901925053947778,0.505486625784998,0.00466066026790788,0.00516871975830699,0.00374901817864743,0,-513.715402599524
25,-0.122833324287083,0.962808504766038,0.423933582672082,0.00518057850835939,0.00516871975830699,0.00374901817864743,0,-516.501376168312
26,0.4366178043519,0.911577781187628,0.500048209989739,0.00469921716505685,0.00383334270772786,0.00463470209601707,0,-516.957642413755
25,0.813103459498884,0.863284506167822,0.58403649804775,0.00469921716505685,0.00383334270772786,0.00559573111171001,0,-517.218013407191
25,0.295671192359032,0.84498077690642,0.658376247148234,0.00469921716505685,0.011255757632655,0.00559573111171001,0,-517.313343669503
25,-0.0557993848907929,0.872661477532119,0.516267365480568,0.00389775159142588,0.00464690599364028,0.00190381919628428,0,-514.529504535998
