"t","icu","deaths","cases_imported","cases_community","cases_dorms","infns_dorms","cumcases_imported","cumcases_community","cumcases_dorms","logcumcases_imported","logcumcases_community","logcumcases_dorms","cuminfns_dorms","logcuminfns_dorms"
47,7.35242668543781,0.0799172754478174,3.24864316753832,7.79861087810814,16.3642488929585,0.00686852294665275,18,122,0,1.25527250510331,2.08635983067475,-0.301029995663981,0.0380595417580884,-0.301029995663981
48,7.44443956737835,0.0846001021286969,2.57651108058236,7.63740855340874,13.1582493362617,0.00836897462385277,18,125,0,1.25527250510331,2.09691001300806,-0.301029995663981,0.0464319663266577,-0.301029995663981
49,7.50967869763562,0.0894308944980227,1.83931488402681,7.46425514466253,9.29648251704606,0.0102000300997788,19,130,0,1.27875360095283,2.11394335230684,-0.301029995663981,0.0566361252827525,-0.301029995663981
50,7.54918476399436,0.0944221449118624,1.07526835703745,7.28673796540346,4.94942048286083,0.0124332741752339,19,131.025,1,1.27875360095283,2.11735386154452,0,0.0690727687230921,-0.301029995663981
51,7.56483717568044,0.0995839737831277,0.327189939129205,7.11347547025461,0.312461466429284,0.0151554753885048,20,136,1,1.30102999566398,2.13353890837022,0,0.0842296002576096,-0.301029995663981
52,7.55938598632431,0.104923236534673,0,6.95395196377753,0,0.0184736882766767,21,140,1,1.32221929473392,2.14612803567824,0,0.102675838371405,-0.301029995663981
53,7.53646411181886,0.110442767687746,0,6.81831833159217,0,0.0225155472156628,21,142,1,1.32221929473392,2.15228834438306,0,0.12516027472921,-0.301029995663981
54,7.50057842764637,0.116140819572867,0,6.71716383965467,0,0.0274416321702939,22,144,1,1.34242268082221,2.15836249209525,0,0.152608968654947,-0.301029995663981
55,7.45707883763336,0.122010745545428,0,6.66126508457471,0,0.0334454744354179,22,147.025,1,1.34242268082221,2.16739094426435,0,0.186067410117399,-0.301029995663981
56,7.41210496362415,0.128040966866449,0,6.66131902978722,0,0.0407628716000284,23,152.025,1,1.36172783601759,2.18191478401659,0,0.226851400660546,-0.301029995663981
57,7.37251069854062,0.134215248985664,0,6.72766769887599,0,0.0496812101436875,24,155.025,1,1.38021124171161,2.1904015206749,0,0.276549215818813,-0.301029995663981
58,7.34576747669726,0.14051329741991,0,6.87002249529253,0,0.0605507522035257,25,160,1,1.39794000867204,2.20411998265592,0,0.337099968022339,-0.301029995663981
59,7.33984772711609,0.146911666467019,0.278331436853698,7.09719626181098,0,0.0737983916491827,25,164.025,1,1.39794000867204,2.21490985045185,0,0.410898359671522,-0.301029995663981
60,7.36309056901016,0.153384956429317,1.54061858052602,7.41685107673134,0,0.0899444196772878,26,170,1,1.41497334797082,2.23044892137827,0,0.50084277934881,-0.301029995663981
61,7.42405236408521,0.159907257713756,3.13593662366861,7.83526940873879,0,0.10962295830911,28,175,2,1.44715803134222,2.24303804868629,0.301029995663981,0.610465737657919,-0.301029995663981
62,7.53134523963494,0.166453784010585,5.05274039675111,8.3571556296982,0,0.13360686419235,30,180,2,1.47712125471966,2.25527250510331,0.301029995663981,0.744072601850269,-0.301029995663981
63,7.6934671217089,0.173002622596379,7.268698664529,8.9854740328972,0,0.162836349546079,32.025,186,2,1.50548407735886,2.26951294421792,0.301029995663981,0.906910682471118,-0.301029995663981
64,7.91862715354723,0.179536518454559,9.75106003907622,9.72132845091911,0,0.198460360400164,36,192.025,2,1.55630250076729,2.28335763071116,0.301029995663981,1.10537531204962,0.043509755148742
65,8.21457060767573,0.186044601062526,12.4573888721334,10.5638873454878,0,0.241991113608854,41,196.025,3,1.61278385671974,2.2923113252266,0.477121254719662,1.34726100832263,0.129451733803542
66,8.58840752056069,0.192523958897561,15.3366492155915,11.5103568912976,4.1734487587286,0.294848653822081,49,203,3,1.69019608002851,2.30749603791321,0.477121254719662,1.64206758459151,0.215391019116146
67,9.04644927968092,0.198980967359492,18.3306019646162,12.5560031404598,9.88512081368751,0.35928793210313,58,210,3,1.76342799356294,2.32221929473392,0.477121254719662,2.00136431899141,0.30132614448922
68,9.59405727159207,0.205432281067692,21.3754686090077,13.6942228807382,15.3711528769155,0.437894291530645,69,216,4,1.83884909073726,2.33445375115093,0.602059991327962,2.43925180855699,0.387256630856433
69,10.2355074571431,0.211905411340898,24.4038050630378,14.9166613374861,20.3753620086514,0.533698244559923,84,227,4,1.92427928606188,2.35602585719312,0.602059991327962,2.97353102626845,0.473272473278715
70,10.9738743814899,0.218438823860032,27.3465211981847,16.2133734636104,24.6558594469341,0.650462204144156,102,231,5,2.00860017176192,2.36361197989214,0.698970004336019,3.6246656663797,0.55926795367627
71,11.8109376614228,0.225081509589504,30.134976263917,17.5730242603214,27.9963618688227,0.79277165999102,123,242,6,2.0899051114394,2.38381536598043,0.778151250383644,4.41624268751595,0.645052931327223
72,12.7471134335026,0.231892003330631,32.703077546987,18.9831224159411,30.2168195265333,0.966215214389878,146,251.025,6,2.16435285578444,2.39971689196355,0.778151250383644,5.38231793914413,0.730969348309282
73,13.7814126097252,0.238936847959928,34.9893094932885,20.4302805785594,31.1829227696232,1.17760398708006,173.025,267,7,2.23810868175764,2.42651126136458,0.845098040014257,6.55992192622418,0.816898670205795
74,14.9114270923796,0.246288527505159,36.9386230852653,21.9004948216737,30.8140867905497,1.43523899271998,203,277.025,9,2.30749603791321,2.44251889473579,0.954242509439325,7.99516091894417,0.902827208385285
75,16.1333443673148,0.254022917629856,38.5041204299596,23.3794353446995,29.0895689994845,1.7492369720833,236,292,10,2.37291200297011,2.46538285144842,1,9.74439789102747,0.988755007621897
76,17.4419901478206,0.262216326713697,39.6484770520574,24.8527401879191,26.0524421032134,2.131927444144,274.025,304.025,11,2.43779011609563,2.4829092400022,1.04139268515823,11.8763253351715,1.07468208366612
77,18.8308980035352,0.270942223383496,40.3450540077649,26.3063037417712,21.8112260915495,2.59833652896214,310,319,13,2.49136169383427,2.50379068305718,1.11394335230684,14.4746618641336,1.16060842386466
