"t","icu","deaths","cases_imported","cases_community","cases_dorms","infns_dorms","cumcases_imported","cumcases_community","cumcases_dorms","logcumcases_imported","logcumcases_community","logcumcases_dorms","cuminfns_dorms","logcuminfns_dorms"
37,0,0.0184221298222174,0.532944065832858,0.605290262348888,1.86811580593292,0.000436628231005196,2,39,0,0.301029995663981,1.5910646070265,-0.301029995663981,0.0022380211605475,-0.301029995663981
38,0,0.0206503727347932,0.892995043910787,0.693697321175557,5.71521178409824,0.000538216565480814,2,43.975,0,0.301029995663981,1.64320307096352,-0.301029995663981,0.00277623772602832,-0.301029995663981
39,0,0.0228816210317158,1.21721709742318,0.775708291128793,9.34425786688098,0.000663440998481295,2,47,0,0.301029995663981,1.67209785793572,-0.301029995663981,0.00343967872450961,-0.301029995663981
40,0,0.0250944109995274,1.48770754586022,0.847820068717039,12.5821972068965,0.000817800836242382,2,49,0,0.301029995663981,1.69019608002851,-0.301029995663981,0.00425747956075199,-0.301029995663981
41,0,0.0272708844961315,1.68868128505904,0.906724272516914,15.2730552410335,0.00100807488283923,2,52.975,0,0.301029995663981,1.72406905645164,-0.301029995663981,0.00526555444359122,-0.301029995663981
42,0,0.0293977557301627,1.80725955850384,0.949451813896198,17.28497625267,0.00124261913564689,3,56,0,0.477121254719662,1.7481880270062,-0.301029995663981,0.00650817357923811,-0.301029995663981
43,0,0.0314670388036992,1.83415483289551,0.973512537520713,18.5162668875037,0.00153173374392572,3,58,0,0.477121254719662,1.76342799356294,-0.301029995663981,0.00803990732316383,-0.301029995663981
44,0,0.0334764967724788,1.76422068418575,0.977024970742385,18.9001704077161,0.00188811534582314,3,64,0,0.477121254719662,1.80617997398389,-0.301029995663981,0.00992802266898697,-0.301029995663981
45,0,0.0354297871101396,1.59684088741767,0.9588314489239,18.4081493930663,0.00232741464844484,3,70,0,0.477121254719662,1.84509804001426,-0.301029995663981,0.0122554373174318,-0.301029995663981
46,0,0.0373362939457569,1.33613826744194,0.918594266716106,17.051518128092,0.00286892373740928,4,72,0,0.602059991327962,1.85733249643127,-0.301029995663981,0.0151243610548411,-0.301029995663981
47,0,0.0392106535369126,0.990991058685815,0.856869033501507,14.8813364585427,0.00353642329939912,4,75,0,0.602059991327962,1.8750612633917,-0.301029995663981,0.0186607843542402,-0.301029995663981
48,0,0.0410719953558283,0.574852255258534,0.775152070438986,11.9865515267862,0.00435922696383873,4,76,0,0.602059991327962,1.88081359228079,-0.301029995663981,0.0230200113180789,-0.301029995663981
49,0,0.0429429361266329,0.105375401044366,0.67589945810775,8.49044942826401,0.00537346862634705,4,81,0,0.602059991327962,1.90848501887865,-0.301029995663981,0.028393479944426,-0.301029995663981
50,0.0236170357002656,0.044848377397842,0,0.562516204625072,4.54555227537793,0.00662368928717879,4,82,0,0.602059991327962,1.91381385238372,-0.301029995663981,0.0350171692316048,-0.301029995663981
51,0.06295274592323,0.0468141681069098,0,0.439314928558327,0.327164350467683,0.00816479309105685,4.975,85,0,0.696547254010818,1.92941892571429,-0.301029995663981,0.0431819623226616,-0.301029995663981
52,0.100401372033376,0.0488657015096965,0,0.311444410372838,0,0.0100644584682106,5,88,0,0.698970004336019,1.94448267215017,-0.301029995663981,0.0532464207908722,-0.301029995663981
53,0.13381042699381,0.051026520385061,0,0.184789330435875,0,0.0124061102620382,5,89.975,0,0.698970004336019,1.95412119686946,-0.301029995663981,0.0656525310529104,-0.301029995663981
54,0.161101508827155,0.0533170053054523,0,0.0658434501449517,0,0.0152925833642109,5,91,0,0.698970004336019,1.95904139232109,-0.301029995663981,0.0809451144171213,-0.301029995663981
55,0.180375509040106,0.0557532178810715,0,0,0,0.0188506387449884,5,93.975,0,0.698970004336019,1.97301173097355,-0.301029995663981,0.0997957531621097,-0.301029995663981
56,0.19001713653086,0.0583459643238007,0,0,0,0.02323653019843,5,97,0,0.698970004336019,1.98677173426624,-0.301029995663981,0.12303228336054,-0.301029995663981
57,0.188794776836946,0.061100134690213,0,0,0,0.0286428662626275,6,99,0,0.778151250383644,1.99563519459755,-0.301029995663981,0.151675149623167,-0.301029995663981
58,0.175951770107825,0.0640143601742622,0,0,0,0.0353070686499337,6,102,0,0.778151250383644,2.00860017176192,-0.301029995663981,0.186982218273101,-0.301029995663981
59,0.151285399877872,0.0670810154159991,0,0,0,0.0435217986284773,7,105,0,0.845098040014257,2.02118929906994,-0.301029995663981,0.230504016901578,-0.301029995663981
60,0.115210232417255,0.0702865756694093,0,0,0,0.0536478092118462,7,109,0,0.845098040014257,2.03742649794062,-0.301029995663981,0.284151826113424,-0.301029995663981
61,0.068802921437757,0.0736123206336753,0,0.0456598090128895,0,0.0661297875322265,8,114,0,0.903089986991944,2.05690485133647,-0.301029995663981,0.350281613645651,-0.301029995663981
62,0.0138261794834351,0.0770353586596204,0,0.238963929429291,0,0.0815158830691338,10,118,0,1,2.07188200730613,-0.301029995663981,0.431797496714785,-0.301029995663981
63,0,0.0805299277697555,1.0179331096809,0.496947298249188,0,0.100481779243778,11.975,122,0,1.07823653202539,2.08635983067475,-0.301029995663981,0.532279275958563,-0.301029995663981
64,0,0.0840689143360827,2.22086795664152,0.822420297067195,0,0.123860365370207,14,126.975,0,1.14612803567824,2.10371789156,-0.301029995663981,0.65613964132877,-0.301029995663981
65,0,0.087625517142794,3.55336343567047,1.21694552443017,0,0.152678311831274,17,130,0,1.23044892137827,2.11394335230684,-0.301029995663981,0.808817953160044,-0.301029995663981
