"t","icu","deaths","cases_imported","cases_community","cases_dorms","infns_dorms","cumcases_imported","cumcases_community","cumcases_dorms","logcumcases_imported","logcumcases_community","logcumcases_dorms","cuminfns_dorms","logcuminfns_dorms"
19,0.00281260380555715,0,2.40331517078518,2.07255333999326,23.4251760654207,0,0,2,0,-0.301029995663981,0.301029995663981,-0.301029995663981,0,-0.301029995663981
20,0.0549854667163436,0,1.77972162843405,2.11414628455962,17.7308891937806,0,0,3,0,-0.301029995663981,0.477121254719662,-0.301029995663981,0,-0.301029995663981
21,0.107435999146182,0,1.1634168412199,2.15646753399156,12.0952942347711,1.63663804005932e-05,1,5,0,0,0.698970004336019,-0.301029995663981,1.63663804005932e-05,-0.301029995663981
22,0.160597473925448,0,0.565462297177305,2.20060890295305,6.60775670964625,2.71214303767516e-05,1,7,0,0,0.845098040014257,-0.301029995663981,4.34878107773447e-05,-0.301029995663981
23,0.215051867039247,0,0.00017853542976809,2.24796028013801,1.38450842562423,3.62896394566122e-05,2,9,0,0.301029995663981,0.954242509439325,-0.301029995663981,7.9777450233957e-05,-0.301029995663981
24,0.271483241780154,0,0,2.30004286314591,0,4.57954648224876e-05,2,12,0,0.301029995663981,1.07918124604762,-0.301029995663981,0.000125572915056445,-0.301029995663981
25,0.33063249298879,0,0,2.35835220416062,0,5.66998811531292e-05,2,15,0,0.301029995663981,1.17609125905568,-0.301029995663981,0.000182272796209574,-0.301029995663981
26,0.393253776684523,0.00140715174755745,0,2.42421433505317,0,6.97434336286984e-05,3,17,0,0.477121254719662,1.23044892137827,-0.301029995663981,0.000252016229838272,-0.301029995663981
27,0.460073020195105,0.00308989138461525,0,2.49865840917211,0,8.55922743798789e-05,3,21,0,0.477121254719662,1.32221929473392,-0.301029995663981,0.000337608504218151,-0.301029995663981
28,0.531748970842856,0.00489493819116718,0,2.58230922397396,0,0.000104958716900617,3,24,0,0.477121254719662,1.38021124171161,-0.301029995663981,0.000442567221118768,-0.301029995663981
29,0.608837294634877,0.00683184118800064,0,2.67530269544103,0,0.00012867090933998,4,27,0,0.602059991327962,1.43136376415899,-0.301029995663981,0.000571238130458748,-0.301029995663981
30,0.69175827900795,0.00890581161614252,0,2.77722686769079,0,0.000157706558868918,4,29,0,0.602059991327962,1.46239799789896,-0.301029995663981,0.000728962675113323,-0.301029995663981
31,0.780768722255923,0.0111174788152845,0,2.88709038981697,0,0.000193274736087591,5,31,0,0.698970004336019,1.49136169383427,-0.301029995663981,0.00092229438402435,-0.301029995663981
32,0.875938604244019,0.0134629293504622,0,3.00331960970135,0,0.000236861823651339,5,36,0,0.698970004336019,1.55630250076729,-0.301029995663981,0.00115926886992744,-0.301029995663981
33,0.977133126038606,0.015934018020504,0,3.12378455770146,0,0.000290236920948662,5,39,0,0.698970004336019,1.5910646070265,-0.301029995663981,0.00144964532890826,-0.301029995663981
34,1.08400067733827,0.0185189266006173,0,3.24585315951721,0,0.000355656128275774,6,46,0,0.778151250383644,1.66275783168157,-0.301029995663981,0.00180538360234389,-0.301029995663981
35,1.19596723837139,0.0212029343039208,0,3.36647206605692,0,0.000435901248689156,6,49,0,0.778151250383644,1.69019608002851,-0.301029995663981,0.00224134475174245,-0.301029995663981
36,1.31223764592865,0.0239693536673866,0.261409422825849,3.48227155712155,0,0.000534249981536229,6,53,0,0.778151250383644,1.72427586960079,-0.301029995663981,0.00277559878730157,-0.301029995663981
37,1.43180405055832,0.0268005774604988,0.73854740889999,3.58969110215858,1.98856205608911,0.000654759768857193,7,55,0,0.845098040014257,1.74036268949424,-0.301029995663981,0.00342977259791174,-0.301029995663981
